;Device;October 5, 2024;October 6, 2024;October 7, 2024;October 8, 2024;October 9, 2024;October 10, 2024;October 11, 2024;October 12, 2024;October 13, 2024;October 14, 2024;October 15, 2024;October 16, 2024;October 17, 2024;October 18, 2024;October 19, 2024;October 20, 2024;October 21, 2024;October 22, 2024;October 23, 2024;October 24, 2024;October 25, 2024;October 26, 2024;October 27, 2024;October 28, 2024;October 29, 2024;October 30, 2024;October 31, 2024;November 1, 2024;Total Usage
Google;;1s;6m 47s;2m 35s;35s;7s;1m 9s;48s;2m 5s;1m 5s;0s;2m 40s;3m 31s;1m 40s;53s;2m 50s;4m 12s;2m 47s;4m 31s;1m 9s;2m 17s;27s;1m 21s;3s;3m 22s;5m 1s;4m 42s;1m 26s;0s;58m 17s
Google Opinion Rewards;;0s;0s;0s;0s;0s;45s;9s;7s;0s;20s;0s;6s;0s;21s;8s;0s;0s;0s;0s;15s;7s;18s;13s;13s;45s;38s;19s;9s;4m 59s
Google Play Store;;9s;0s;0s;0s;12s;23s;17s;45s;1s;1m 6s;0s;11s;0s;12s;2s;0s;0s;1s;0s;14s;0s;17s;0s;37s;1s;11m 9s;0s;1s;15m 46s
Google Wallet;;6s;0s;10s;3s;2s;8s;0s;0s;7s;4s;5s;6s;18s;33s;2m 25s;0s;0s;21s;8s;5s;20s;4s;5s;8s;36s;1m 20s;19s;0s;7m 42s
Instagram;;49m 33s;44m 17s;1h 13m 27s;28m 27s;9m 54s;52m 10s;28m 56s;2h 8m 40s;1h 8m 16s;49m 19s;1h 40m 54s;1h 6m 50s;17m 58s;2h 43m 21s;1h 56m 41s;2h 15m 39s;1h 40m 9s;2h 15m 59s;2h 50m 26s;45m 57s;33m 28s;2h 16m 21s;40m 52s;48m 30s;2h 1m 39s;56m 22s;21m 58s;20m 24s;34h 26m 41s
Keep Notes;;36s;2m 25s;1m 4s;57s;21s;49s;19s;59s;56s;2m 42s;1m 7s;2m 8s;2m 43s;4m 20s;3m 33s;3m 17s;2m 43s;7m 59s;10m 45s;3m 51s;6m 2s;8m 9s;16m 1s;1m 57s;2m 41s;2m 45s;19s;1m 3s;1h 32m 43s
KLM;;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;6m 25s;2m 50s;0s;2m 38s;1m 16s;39s;0s;0s;0s;0s;0s;0s;0s;0s;0s;13m 51s
LINE;;1s;0s;0s;0s;20m 30s;28s;0s;3s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;6s;0s;0s;4m 18s;7s;10m 12s;4m 5s;0s;0s;39m 53s
LinkedIn;;0s;0s;0s;0s;0s;0s;13s;16s;0s;1m 35s;23s;0s;0s;35s;1m 41s;1m 30s;0s;1m 2s;5m 37s;3m 8s;3m 17s;0s;27s;0s;1m 8s;0s;0s;0s;21m
Maps;;0s;1h 8m 35s;3m 50s;1m 51s;48m 42s;21m 41s;28m 9s;4m 7s;1h 16m 6s;13m 39s;30m 6s;2m 45s;25m 3s;58m 43s;14m 4s;14m 46s;23m 33s;15m 25s;1h 8m 22s;3m 20s;17m 20s;23m 43s;0s;1m 12s;10m 3s;1m 20s;1m 52s;9s;9h 38m 40s
Marktplaats;;0s;1m 10s;0s;0s;0s;0s;0s;0s;0s;0s;0s;3m 4s;0s;0s;0s;0s;0s;0s;0s;23s;2m 4s;47s;6m 39s;0s;0s;1s;0s;0s;14m 11s
McDonald's;;0s;0s;0s;0s;0s;0s;0s;0s;1m 46s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;1m 46s
Meet;;33s;0s;0s;0s;0s;6s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;39s
Messages;;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;32s;0s;0s;5s;0s;0s;0s;0s;19s;0s;0s;0s;0s;0s;0s;0s;0s;56s
Netflix;;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;1h 22m 40s;0s;0s;1h 34m 16s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;2h 56m 56s
NS;;30s;0s;0s;39s;0s;0s;0s;0s;0s;0s;0s;0s;0s;9m 24s;48s;0s;0s;1m 3s;1m 34s;0s;0s;0s;0s;1m 23s;0s;0s;0s;0s;15m 25s
NS International;;0s;0s;0s;1m 41s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;1m 41s
Onderweg;;0s;36s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;36s
PayPal;;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;39s;4s;0s;0s;0s;0s;0s;0s;0s;44s
Personal Safety;;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;1m 42s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;1m 42s
Phone;;6s;1m 3s;42s;2m 49s;2m 24s;0s;2m 3s;3m 10s;4m 16s;3m 4s;2m 26s;15s;15s;52s;0s;0s;0s;0s;2m 9s;4m 13s;1m 36s;27m 7s;15m 25s;9m 16s;53m 15s;7s;0s;0s;2h 16m 45s
Photos;;3m 3s;3m 10s;3m;2m 55s;7m 3s;6m 18s;0s;4m 30s;11m 42s;5m 15s;11m 17s;16m 57s;8m 44s;19s;57s;6m 21s;6m 16s;2m 26s;6m 51s;4m 33s;7m 5s;5m 34s;10m 8s;9m 29s;9m 23s;17m 39s;8m 1s;3m 50s;3h 3m
Pixel Weather;;0s;2m 8s;8m 16s;2m 20s;1s;2m 38s;2s;0s;0s;0s;1m 23s;0s;2m 26s;11s;3s;0s;6s;0s;0s;0s;2m 4s;15s;0s;4m 21s;41s;0s;0s;4m 10s;31m 11s
Pokémon TCGP;;0s;0s;0s;0s;9m 52s;22m 30s;15m 11s;19m 33s;18m 43s;8m 5s;12m 50s;32m 27s;24m 51s;1h 1m 2s;1s;18m 9s;17m 34s;9m 33s;5m 8s;1h 28m 5s;18m 43s;14m 51s;4m 27s;12m 55s;16s;50m 25s;16m 51s;33m 18s;8h 35m 33s
PostNL;;0s;0s;0s;0s;0s;0s;0s;25s;0s;16s;0s;22s;23s;0s;0s;0s;0s;0s;0s;0s;25s;0s;0s;0s;0s;0s;0s;0s;1m 54s
PowerPoint;;0s;0s;0s;0s;0s;0s;0s;1m 55s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;46s;2m 41s
Recorder;;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;1s;0s;0s;0s;0s;0s;1s
Reisapp;;0s;0s;0s;1m 12s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;1m 12s
Settings;;2s;0s;2s;1s;15s;16s;4s;1s;1s;5s;1s;4s;4s;2s;13s;1s;9s;0s;0s;29s;1s;1s;3s;8s;0s;1m 23s;5s;0s;3m 40s
Settings Services;;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;10s;0s;0s;0s;0s;8s;0s;0s;0s;0s;0s;9s;0s;0s;27s
Sheets;;0s;0s;23s;0s;30s;29s;0s;1s;0s;16s;0s;1m 36s;20s;0s;4s;0s;0s;29s;0s;1m 31s;15s;0s;41s;7m 35s;6m 32s;0s;21s;0s;21m 9s
Sleep Cycle;;0s;0s;0s;0s;0s;0s;0s;0s;0s;52s;3m 7s;1m 55s;2m 5s;3m 7s;1s;2m 59s;34s;2m 11s;0s;56s;2m 11s;1m 28s;1m 36s;1s;1m 14s;23s;0s;0s;24m 47s
Snapchat;;6s;2m 3s;0s;46s;0s;31s;0s;21m 5s;4m 27s;0s;0s;4s;11s;0s;3m 30s;33s;4m 32s;4s;2m 23s;49s;2m 17s;3m 59s;53s;9s;2m 15s;2m 43s;3m 53s;4m 18s;1h 1m 42s
Spotify;;7s;0s;3m 23s;1m 32s;13s;5m 24s;3m 53s;11m 10s;8m 34s;0s;0s;1m 16s;27s;1m 39s;6m 59s;1m 4s;54s;2m 52s;1m 34s;2m 22s;3m 4s;2m 40s;2m 40s;1m 3s;1m 46s;2m 1s;1m 30s;1m 7s;1h 9m 25s
StayFree;;0s;0s;0s;0s;0s;0s;0s;0s;0s;3m 21s;1m 33s;0s;0s;0s;0s;0s;0s;59s;0s;0s;0s;0s;0s;0s;0s;0s;0s;1m 27s;7m 22s
Steam;;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;18s;0s;0s;0s;0s;0s;0s;0s;21s;40s
Strava;;0s;0s;4m 33s;0s;29s;7m 58s;3m 46s;0s;7m 5s;1m 3s;0s;3m 14s;0s;0s;0s;0s;0s;21s;0s;0s;0s;3m 22s;17s;0s;0s;0s;0s;0s;32m 14s
Surfshark;;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;28s;0s;0s;0s;0s;28s
Teams;;0s;0s;0s;54s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;54s
Tikkie;;0s;0s;0s;0s;0s;0s;0s;45s;0s;0s;0s;0s;0s;0s;0s;0s;0s;31s;0s;0s;17s;0s;0s;0s;0s;0s;0s;0s;1m 34s
Trade Republic;;34s;1m 21s;0s;0s;13s;6m 57s;36s;12s;0s;1m 34s;4m 3s;9m 19s;0s;1m 19s;1m 2s;1m 31s;0s;11m 3s;1m;0s;23s;0s;0s;0s;0s;2m 50s;19s;1m 9s;45m 33s
Translate;;11s;7s;0s;0s;21m 30s;5s;0s;9s;0s;0s;0s;0s;0s;0s;0s;5s;2s;0s;0s;0s;0s;0s;0s;0s;17s;19s;0s;0s;22m 50s
TsumTsum;;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;7s;0s;0s;7s
TunnelBear;;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;2m 55s;49s;24s;31s;2m 3s;35s;1m 3s;0s;0s;8m 24s
VENDÉGEM Szállás;;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;4m 6s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;4m 6s
Vinted;;0s;6m 22s;0s;0s;0s;3m 7s;0s;0s;0s;42s;0s;48s;17s;20s;21s;0s;0s;0s;18s;27s;0s;0s;7m 26s;0s;0s;0s;26s;0s;20m 40s
VpnDialogs;;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;1s;0s;0s;0s;1s;0s;0s;0s;0s;3s
WhatsApp;;2h 42m 56s;4h 16m 6s;53m 27s;59m 31s;4h 46m 15s;2h 29m 22s;1h 35m 36s;2h 31m 33s;2h 23m 21s;2h 37m 2s;6h 3m 35s;2h 28m 53s;4h 43m 46s;3h 42m 15s;1h 50m 47s;1h 19m 53s;3h 20m 40s;1h 39m 47s;3h 9m 53s;2h 49m 36s;1h 19m 34s;1h 10m 47s;1h 58m 24s;1h 27m 1s;2h 47m 13s;2h 44m 36s;1h 15m 45s;1h 11m 28s;70h 19m 15s
Word;;0s;0s;0s;13s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;11s;0s;5s;0s;0s;12s;0s;0s;0s;0s;43s
XAPKS Installer;;0s;0s;0s;0s;32s;0s;0s;0s;0s;0s;0s;29s;0s;0s;0s;0s;0s;0s;0s;21s;0s;0s;0s;0s;0s;0s;0s;0s;1m 23s
YouTube;;0s;0s;0s;0s;48s;0s;1m 54s;0s;4m 10s;0s;0s;0s;0s;42s;0s;0s;0s;0s;0s;24s;0s;2m 30s;0s;0s;0s;53s;2m 2s;0s;13m 27s
Total Usage;;3h 54m 1s;7h 34m 12s;3h 7m 46s;2h 28m 28s;7h 35m 19s;5h 16m 36s;3h 49m 51s;6h 54m 17s;8h 1m 16s;4h 43m 56s;9h 46m 28s;5h 48m 42s;6h 44m 55s;10h 22m 47s;6h 50m 32s;5h 39m 17s;7h 5m 31s;7h 29m 27s;9h 18m 25s;6h 46m 55s;3h 45m 36s;6h 4m 12s;4h 21m 19s;4h 2m 47s;7h 37m 55s;6h 15m 3s;2h 35m 53s;2h 36m 58s;166h 38m 39s
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Created by “StayFree”.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Creation date: 11/1/24 17:08:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
